Order Number,Product ID,Customer number,Date,Material Type,Reason for rejection,Order qty,Confirmed Qty,Canceled Qty,Order value $,Confirmed Value,Canceled Value,Class,Fill rate
43-810526,690821577339,24366125,"Friday, August 11, 2023",Saleable Products,Global Allocation,35,33,2,$2983.95,$2813.44,$170.51,C,94%
43-673149,539441524732,77834855,"Monday, December 30, 2024",Saleable Products,Automatic Closing,2,0,2,$157.79,$0.0,$157.79,Travel Retail,0%
43-265649,700832336208,82909480,"Saturday, July 15, 2023",Saleable Products,Global Allocation,40,38,2,$2186.0,$2076.7,$109.3,Travel Retail,95%
43-177449,390355792387,50264926,"Monday, August 05, 2024",Saleable Products,Global Allocation,37,36,1,$1849.68,$1799.69,$49.99,C,97%
43-563187,150711229823,59597086,"Wednesday, July 19, 2023",Saleable Products,Global Allocation,37,35,2,$1629.06,$1541.01,$88.05,Limited Edition,94%
43-462351,599410093881,95125977,"Thursday, January 16, 2025",Saleable Products,No Inventory,10,0,10,$112.21,$0.0,$112.21,Set,0%
43-716113,101948728483,52436584,"Wednesday, November 06, 2024",Saleable Products,OK,12,12,0,$1113.31,$1113.31,$0.0,Limited Edition,100%
43-413685,223005401501,71367643,"Thursday, March 13, 2025",Saleable Products,No Inventory,17,0,17,$615.99,$0.0,$615.99,Set,0%
43-769975,945433611429,24366125,"Wednesday, September 25, 2024",Saleable Products,Automatic Closing,46,45,1,$3945.45,$3859.68,$85.77,C,97%
43-544920,914655221101,19233013,"Monday, January 08, 2024",Saleable Products,No Inventory,26,0,26,$1993.55,$0.0,$1993.55,C,0%
43-823846,256589576361,11049999,"Friday, April 19, 2024",Saleable Products,Discontinued,5,0,5,$101.48,$0.0,$101.48,C,0%
43-362246,911856239313,42787299,"Monday, July 15, 2024",Saleable Products,Freshness,5,3,2,$190.95,$114.57,$76.38,Travel Retail,60%
43-579027,798400899699,23903144,"Friday, February 21, 2025",Saleable Products,Discontinued,38,0,38,$2037.52,$0.0,$2037.52,Limited Edition,0%
43-986365,481597082643,27778019,"Saturday, March 22, 2025",Saleable Products,No Inventory,47,0,47,$1578.94,$0.0,$1578.94,C,0%
43-416797,561902006518,68812137,"Friday, February 23, 2024",Saleable Products,Automatic Closing,27,26,1,$1247.13,$1200.94,$46.19,Travel Retail,96%
43-308894,605645347792,47816686,"Friday, January 19, 2024",Saleable Products,Freshness,5,3,2,$177.09,$106.26,$70.83,Travel Retail,60%
43-503380,871590378377,80993218,"Monday, October 21, 2024",Saleable Products,Discontinued,8,0,8,$537.72,$0.0,$537.72,C,0%
43-994787,714294294451,24366125,"Saturday, November 11, 2023",Saleable Products,Freshness,31,29,2,$1316.24,$1231.32,$84.92,C,93%
43-606680,643354278056,99038526,"Monday, August 07, 2023",Saleable Products,Automatic Closing,33,31,2,$1358.5,$1276.17,$82.33,Set,93%
43-211834,251282538206,37326368,"Wednesday, February 07, 2024",Saleable Products,Global Allocation,21,20,1,$723.27,$688.83,$34.44,C,95%
43-348728,367469214295,59597086,"Thursday, May 25, 2023",Saleable Products,Automatic Closing,35,32,3,$2874.81,$2628.39,$246.42,Set,91%
43-499889,566854953850,11049999,"Friday, April 26, 2024",Saleable Products,OK,21,21,0,$1430.82,$1430.82,$0.0,Travel Retail,100%
43-699704,517010168081,11049999,"Saturday, April 22, 2023",Saleable Products,Freshness,15,12,3,$1123.3,$898.64,$224.66,Travel Retail,80%
43-476395,214832269481,19832887,"Tuesday, July 09, 2024",Saleable Products,Automatic Closing,36,35,1,$1636.13,$1590.68,$45.45,C,97%
43-702733,476415064723,48250360,"Tuesday, October 29, 2024",Saleable Products,Global Allocation,2,1,1,$171.11,$85.55,$85.56,Travel Retail,50%
43-410244,198912225902,92097999,"Monday, April 08, 2024",Saleable Products,Global Allocation,30,27,3,$1424.21,$1281.79,$142.42,C,90%
43-833247,894035742189,31172421,"Saturday, November 04, 2023",Saleable Products,Automatic Closing,28,25,3,$724.77,$647.12,$77.65,Set,89%
43-409571,942959595464,45594597,"Tuesday, March 04, 2025",Saleable Products,Discontinued,17,0,17,$951.31,$0.0,$951.31,Travel Retail,0%
43-123005,459422681391,68812137,"Monday, September 30, 2024",Saleable Products,Automatic Closing,44,42,2,$2201.84,$2101.76,$100.08,Set,95%
43-970357,615379416985,97775215,"Tuesday, February 27, 2024",Saleable Products,Global Allocation,20,18,2,$365.13,$328.62,$36.51,Travel Retail,90%
43-790203,333279765207,56020613,"Wednesday, February 22, 2023",Saleable Products,Automatic Closing,40,39,1,$2785.62,$2715.98,$69.64,C,97%
43-515032,214832269481,82160068,"Monday, July 24, 2023",Saleable Products,OK,29,29,0,$2409.31,$2409.31,$0.0,Limited Edition,100%
43-387813,726820024292,93370583,"Friday, August 11, 2023",Saleable Products,Discontinued,5,0,5,$210.27,$0.0,$210.27,Travel Retail,0%
43-108491,459422681391,19233013,"Tuesday, December 12, 2023",Saleable Products,Automatic Closing,25,22,3,$1958.23,$1723.24,$234.99,Set,88%
43-693419,754474071330,42787299,"Thursday, July 18, 2024",Saleable Products,Global Allocation,10,7,3,$627.27,$439.09,$188.18,Limited Edition,70%
43-819112,643354278056,93370583,"Saturday, June 10, 2023",Saleable Products,Automatic Closing,19,18,1,$656.83,$622.26,$34.57,Set,94%
43-916118,407473554860,48250360,"Wednesday, November 06, 2024",Saleable Products,Automatic Closing,41,38,3,$1679.27,$1556.4,$122.87,Set,92%
43-880841,198912225902,84252420,"Monday, January 29, 2024",Saleable Products,Freshness,48,46,2,$4567.26,$4376.96,$190.3,C,95%
43-151426,498837994177,82160068,"Thursday, June 13, 2024",Saleable Products,Automatic Closing,1,0,1,$29.42,$0.0,$29.42,Travel Retail,0%
43-735863,369419548116,56020613,"Monday, March 18, 2024",Saleable Products,OK,47,47,0,$1112.62,$1112.62,$0.0,Limited Edition,100%
43-881369,886833016361,56843172,"Tuesday, July 04, 2023",Saleable Products,Global Allocation,34,31,3,$571.55,$521.12,$50.43,Limited Edition,91%
43-620856,561902006518,80993218,"Friday, March 29, 2024",Saleable Products,No Inventory,14,0,14,$1243.24,$0.0,$1243.24,C,0%
43-973294,219883823727,82160068,"Wednesday, January 25, 2023",Saleable Products,Freshness,25,23,2,$1762.27,$1621.29,$140.98,C,92%
43-400096,850726264460,56843172,"Wednesday, December 11, 2024",Saleable Products,No Inventory,26,0,26,$533.0,$0.0,$533.0,Travel Retail,0%
43-913423,333279765207,82909480,"Monday, July 31, 2023",Saleable Products,Automatic Closing,21,18,3,$1657.09,$1420.36,$236.73,C,85%
43-937665,570662212985,38609087,"Wednesday, January 31, 2024",Saleable Products,Discontinued,16,0,16,$1066.35,$0.0,$1066.35,Set,0%
43-341296,251282538206,46553958,"Sunday, August 04, 2024",Saleable Products,OK,10,10,0,$987.59,$987.59,$0.0,Limited Edition,100%
43-736553,654818085172,52436584,"Thursday, November 14, 2024",Saleable Products,OK,32,32,0,$1792.88,$1792.88,$0.0,C,100%
43-940886,726820024292,71367643,"Monday, June 26, 2023",Saleable Products,OK,44,44,0,$2485.02,$2485.02,$0.0,Set,100%
43-469435,397982492151,84252420,"Saturday, October 07, 2023",Saleable Products,Freshness,45,43,2,$1459.53,$1394.67,$64.86,Set,95%
43-329642,894035742189,77834855,"Sunday, February 02, 2025",Saleable Products,Automatic Closing,20,18,2,$543.66,$489.3,$54.36,C,90%
43-767542,929319141080,50603163,"Wednesday, November 27, 2024",Saleable Products,OK,9,9,0,$684.16,$684.16,$0.0,Limited Edition,100%
43-299367,354342113419,99639081,"Tuesday, July 30, 2024",Saleable Products,Automatic Closing,34,32,2,$1480.34,$1393.27,$87.07,C,94%
43-751051,869945806981,45431319,"Wednesday, February 26, 2025",Saleable Products,Discontinued,31,0,31,$2331.01,$0.0,$2331.01,C,0%
43-362801,754648192232,95125977,"Friday, June 09, 2023",Saleable Products,Automatic Closing,19,16,3,$1514.29,$1275.2,$239.09,Set,84%
43-810687,539441524732,28024248,"Friday, October 18, 2024",Saleable Products,No Inventory,47,0,47,$4290.92,$0.0,$4290.92,Travel Retail,0%
43-892280,894370590668,48250360,"Friday, February 16, 2024",Saleable Products,Automatic Closing,31,29,2,$1502.55,$1405.61,$96.94,Limited Edition,93%
43-855948,763595448017,42787299,"Sunday, August 11, 2024",Saleable Products,Automatic Closing,30,29,1,$558.77,$540.15,$18.62,Limited Edition,96%
43-904751,894370590668,45594597,"Tuesday, March 11, 2025",Saleable Products,Global Allocation,47,44,3,$561.88,$526.02,$35.86,C,93%
43-791201,517045625552,42787299,"Monday, March 31, 2025",Saleable Products,No Inventory,24,0,24,$870.46,$0.0,$870.46,Travel Retail,0%
43-813928,599410093881,71367643,"Saturday, July 22, 2023",Saleable Products,Freshness,33,31,2,$3099.46,$2911.61,$187.85,Limited Edition,93%
43-979060,984901132451,50264926,"Sunday, June 04, 2023",Saleable Products,Automatic Closing,18,17,1,$1391.44,$1314.13,$77.31,Set,94%
43-243423,605645347792,48250360,"Monday, February 26, 2024",Saleable Products,OK,21,21,0,$1266.79,$1266.79,$0.0,Set,100%
43-758765,459422681391,28024248,"Tuesday, November 21, 2023",Saleable Products,Global Allocation,31,30,1,$978.53,$946.96,$31.57,Travel Retail,96%
43-201883,180092702123,47816686,"Wednesday, April 24, 2024",Saleable Products,Automatic Closing,39,37,2,$2892.05,$2743.74,$148.31,Travel Retail,94%
43-757937,397982492151,47816686,"Saturday, September 09, 2023",Saleable Products,Global Allocation,42,41,1,$3220.4,$3143.73,$76.67,Set,97%
43-777737,847373620112,77834855,"Sunday, January 26, 2025",Saleable Products,Freshness,41,39,2,$1260.35,$1198.87,$61.48,C,95%
43-141337,850726264460,82160068,"Sunday, May 14, 2023",Saleable Products,Global Allocation,43,42,1,$3170.44,$3096.71,$73.73,Set,97%
43-423939,941629821539,80993218,"Wednesday, February 19, 2025",Saleable Products,OK,4,4,0,$83.28,$83.28,$0.0,C,100%
43-926918,424493543665,82909480,"Monday, May 13, 2024",Saleable Products,Automatic Closing,26,23,3,$497.94,$440.48,$57.46,Limited Edition,88%
43-562236,790933616150,84252420,"Monday, November 20, 2023",Saleable Products,OK,33,33,0,$494.04,$494.04,$0.0,Limited Edition,100%
43-134985,187525138707,56020613,"Tuesday, September 17, 2024",Saleable Products,Discontinued,44,0,44,$3648.39,$0.0,$3648.39,Set,0%
43-707727,871590378377,52436584,"Thursday, February 20, 2025",Saleable Products,Global Allocation,33,31,2,$1133.72,$1065.01,$68.71,C,93%
43-482584,726820024292,38609087,"Thursday, September 19, 2024",Saleable Products,Global Allocation,49,48,1,$3154.42,$3090.04,$64.38,Limited Edition,97%
43-867934,921467220156,84437458,"Thursday, June 27, 2024",Saleable Products,Global Allocation,20,19,1,$460.07,$437.07,$23.0,Set,95%
43-237795,570662212985,50181935,"Wednesday, January 22, 2025",Saleable Products,No Inventory,41,0,41,$2042.55,$0.0,$2042.55,Set,0%
43-194511,163462436409,82909480,"Saturday, October 05, 2024",Saleable Products,Freshness,8,6,2,$99.94,$74.96,$24.98,C,75%
43-409445,342910249529,50264926,"Monday, February 06, 2023",Saleable Products,No Inventory,36,0,36,$3146.24,$0.0,$3146.24,Limited Edition,0%
43-442589,187525138707,47816686,"Saturday, November 23, 2024",Saleable Products,OK,8,8,0,$468.62,$468.62,$0.0,Set,100%
43-883790,847373620112,48250360,"Monday, April 10, 2023",Saleable Products,Discontinued,31,0,31,$2794.52,$0.0,$2794.52,Limited Edition,0%
43-535686,607507949295,71510041,"Sunday, March 16, 2025",Saleable Products,Freshness,22,19,3,$1146.21,$989.91,$156.3,Set,86%
43-284171,491257417623,82160068,"Wednesday, March 08, 2023",Saleable Products,Freshness,42,40,2,$1615.72,$1538.78,$76.94,Travel Retail,95%
43-310548,187525138707,45496015,"Wednesday, March 29, 2023",Saleable Products,Automatic Closing,50,49,1,$2303.61,$2257.54,$46.07,Travel Retail,98%
43-238579,933251567391,19736572,"Sunday, January 22, 2023",Saleable Products,Discontinued,47,0,47,$1501.48,$0.0,$1501.48,Set,0%
43-924718,367469214295,99639081,"Monday, January 09, 2023",Saleable Products,Global Allocation,19,17,2,$1704.31,$1524.91,$179.4,Limited Edition,89%
43-665610,798400899699,19832887,"Friday, February 24, 2023",Saleable Products,No Inventory,20,0,20,$732.11,$0.0,$732.11,C,0%
43-483629,726820024292,99639081,"Wednesday, December 06, 2023",Saleable Products,Global Allocation,23,20,3,$834.87,$725.97,$108.9,C,86%
43-656639,406404042870,84252420,"Monday, April 03, 2023",Saleable Products,Automatic Closing,24,23,1,$1604.3,$1537.45,$66.85,C,95%
43-626169,187525138707,50264926,"Friday, November 17, 2023",Saleable Products,No Inventory,43,0,43,$904.96,$0.0,$904.96,C,0%
43-385765,847373620112,46553958,"Monday, January 01, 2024",Saleable Products,Global Allocation,24,21,3,$713.43,$624.25,$89.18,C,87%
43-970813,214832269481,85563727,"Thursday, July 27, 2023",Saleable Products,OK,36,36,0,$1752.88,$1752.88,$0.0,C,100%
43-272537,235447068293,84252420,"Friday, January 31, 2025",Saleable Products,Global Allocation,9,6,3,$237.91,$158.61,$79.3,Set,66%
43-369452,496852403351,19233013,"Sunday, June 04, 2023",Saleable Products,No Inventory,40,0,40,$1326.37,$0.0,$1326.37,Travel Retail,0%
43-964749,488136971784,59597086,"Monday, August 07, 2023",Saleable Products,OK,16,16,0,$1167.9,$1167.9,$0.0,C,100%
43-605254,615379416985,23903144,"Saturday, November 11, 2023",Saleable Products,Automatic Closing,27,26,1,$950.01,$914.83,$35.18,Limited Edition,96%
43-945664,605645347792,27778019,"Thursday, March 09, 2023",Saleable Products,Automatic Closing,45,42,3,$3030.64,$2828.6,$202.04,Limited Edition,93%
43-409478,273665994394,37326368,"Sunday, January 07, 2024",Saleable Products,OK,37,37,0,$2016.38,$2016.38,$0.0,Limited Edition,100%
43-882824,169869415070,50181935,"Monday, September 30, 2024",Saleable Products,No Inventory,13,0,13,$1028.12,$0.0,$1028.12,Set,0%
43-455168,690821577339,31172421,"Monday, November 20, 2023",Saleable Products,No Inventory,2,0,2,$155.13,$0.0,$155.13,Limited Edition,0%
43-943298,275259659197,52436584,"Tuesday, August 20, 2024",Saleable Products,Global Allocation,12,11,1,$333.35,$305.57,$27.78,Travel Retail,91%
43-220764,251461507038,71367643,"Tuesday, April 02, 2024",Saleable Products,Automatic Closing,41,38,3,$3890.56,$3605.88,$284.68,Travel Retail,92%
43-591081,871590378377,45496015,"Wednesday, May 01, 2024",Saleable Products,Automatic Closing,33,30,3,$2712.55,$2465.96,$246.59,Set,90%
43-178957,187525138707,47816686,"Wednesday, December 13, 2023",Saleable Products,OK,23,23,0,$1332.51,$1332.51,$0.0,C,100%
43-247594,136171878809,56843172,"Saturday, December 21, 2024",Saleable Products,Automatic Closing,14,13,1,$845.3,$784.92,$60.38,C,92%
43-890785,851347210313,37326368,"Thursday, June 29, 2023",Saleable Products,Global Allocation,39,36,3,$3299.22,$3045.43,$253.79,Set,92%
43-336574,251461507038,43704923,"Tuesday, October 24, 2023",Saleable Products,Automatic Closing,49,46,3,$2625.11,$2464.39,$160.72,Travel Retail,93%
43-809176,926939990836,31172421,"Tuesday, November 07, 2023",Saleable Products,OK,30,30,0,$1591.92,$1591.92,$0.0,Travel Retail,100%
43-859396,643354278056,38609087,"Friday, April 14, 2023",Saleable Products,Global Allocation,46,43,3,$3068.96,$2868.81,$200.15,Limited Edition,93%
43-807166,590573056992,11049999,"Tuesday, April 01, 2025",Saleable Products,Discontinued,49,0,49,$879.44,$0.0,$879.44,Limited Edition,0%
43-516716,312933106111,38609087,"Monday, July 29, 2024",Saleable Products,OK,34,34,0,$2121.35,$2121.35,$0.0,Limited Edition,100%
43-986827,214832269481,23903144,"Tuesday, June 13, 2023",Saleable Products,Discontinued,9,0,9,$271.37,$0.0,$271.37,Limited Edition,0%
43-943671,714294294451,48250360,"Monday, June 05, 2023",Saleable Products,Automatic Closing,15,13,2,$307.55,$266.54,$41.01,C,86%
43-684384,498837994177,46553958,"Saturday, June 17, 2023",Saleable Products,Global Allocation,24,21,3,$2001.29,$1751.13,$250.16,Set,87%
43-483542,748913461122,75569635,"Friday, March 01, 2024",Saleable Products,Automatic Closing,48,46,2,$2129.45,$2040.72,$88.73,Limited Edition,95%
43-194689,798400899699,31172421,"Tuesday, May 02, 2023",Saleable Products,Global Allocation,41,40,1,$2265.38,$2210.13,$55.25,C,97%
43-929090,488136971784,30863865,"Saturday, June 29, 2024",Saleable Products,Freshness,25,24,1,$910.28,$873.87,$36.41,C,96%
43-513741,354342113419,47816686,"Wednesday, September 25, 2024",Saleable Products,Automatic Closing,36,35,1,$460.14,$447.35,$12.79,Limited Edition,97%
43-114594,605645347792,75569635,"Saturday, February 24, 2024",Saleable Products,Automatic Closing,32,30,2,$1594.09,$1494.46,$99.63,C,93%
43-377304,726820024292,91178885,"Monday, June 12, 2023",Saleable Products,Automatic Closing,47,46,1,$3643.6,$3566.08,$77.52,Limited Edition,97%
43-662636,835339233454,25492573,"Monday, July 29, 2024",Saleable Products,No Inventory,21,0,21,$1643.25,$0.0,$1643.25,Set,0%
43-229592,214832269481,68812137,"Friday, July 19, 2024",Saleable Products,OK,42,42,0,$3905.33,$3905.33,$0.0,Travel Retail,100%
43-576877,808302588517,97775215,"Saturday, October 05, 2024",Saleable Products,No Inventory,39,0,39,$3339.82,$0.0,$3339.82,Set,0%
43-486490,871590378377,93370583,"Thursday, April 25, 2024",Saleable Products,Global Allocation,6,5,1,$590.46,$492.05,$98.41,Limited Edition,83%
43-805511,754474071330,93370583,"Tuesday, December 17, 2024",Saleable Products,Global Allocation,47,44,3,$2887.99,$2703.65,$184.34,Travel Retail,93%
43-885395,858663022120,85563727,"Sunday, October 15, 2023",Saleable Products,Global Allocation,25,23,2,$364.61,$335.44,$29.17,Limited Edition,92%
43-805000,275259659197,97775215,"Saturday, December 07, 2024",Saleable Products,OK,2,2,0,$175.41,$175.41,$0.0,Travel Retail,100%
43-374896,684850587137,50603163,"Wednesday, September 13, 2023",Saleable Products,Global Allocation,31,29,2,$2966.18,$2774.81,$191.37,Limited Edition,93%
43-712955,219883823727,50603163,"Thursday, April 27, 2023",Saleable Products,No Inventory,30,0,30,$1553.27,$0.0,$1553.27,C,0%
43-499534,169869415070,46553958,"Sunday, November 10, 2024",Saleable Products,No Inventory,15,0,15,$303.81,$0.0,$303.81,Limited Edition,0%
43-962367,763595448017,77834855,"Wednesday, May 31, 2023",Saleable Products,Automatic Closing,18,16,2,$219.89,$195.46,$24.43,C,88%
43-769567,390355792387,38609087,"Sunday, March 31, 2024",Saleable Products,Discontinued,32,0,32,$2086.91,$0.0,$2086.91,Travel Retail,0%
43-489518,615379416985,45431319,"Monday, April 10, 2023",Saleable Products,Freshness,14,13,1,$981.21,$911.12,$70.09,Limited Edition,92%
43-213609,754474071330,85563727,"Wednesday, February 12, 2025",Saleable Products,Global Allocation,18,16,2,$206.27,$183.35,$22.92,Set,88%
43-807617,798400899699,23419256,"Friday, February 10, 2023",Saleable Products,OK,35,35,0,$3340.17,$3340.17,$0.0,Set,100%
43-345180,275259659197,52436584,"Friday, May 19, 2023",Saleable Products,OK,22,22,0,$1293.63,$1293.63,$0.0,Travel Retail,100%
43-594379,939668623711,31172421,"Friday, January 26, 2024",Saleable Products,Global Allocation,14,13,1,$911.47,$846.36,$65.11,Limited Edition,92%
43-126240,754648192232,50181935,"Monday, April 29, 2024",Saleable Products,Discontinued,38,0,38,$2309.4,$0.0,$2309.4,C,0%
43-749641,851347210313,77834855,"Wednesday, January 24, 2024",Saleable Products,No Inventory,14,0,14,$539.34,$0.0,$539.34,Set,0%
43-688678,808302588517,45431319,"Friday, May 03, 2024",Saleable Products,Global Allocation,34,33,1,$3095.78,$3004.73,$91.05,C,97%
43-443939,743806247029,50603163,"Saturday, June 24, 2023",Saleable Products,OK,22,22,0,$227.54,$227.54,$0.0,Travel Retail,100%
43-739717,333279765207,19736572,"Monday, February 24, 2025",Saleable Products,Freshness,16,15,1,$1235.96,$1158.71,$77.25,Travel Retail,93%
43-332120,227649528249,48250360,"Saturday, January 21, 2023",Saleable Products,Discontinued,48,0,48,$2038.79,$0.0,$2038.79,Travel Retail,0%
43-779112,424493543665,56843172,"Friday, August 23, 2024",Saleable Products,Global Allocation,49,48,1,$1328.89,$1301.77,$27.12,Travel Retail,97%
43-166287,615379416985,19832887,"Thursday, December 05, 2024",Saleable Products,Freshness,16,13,3,$787.99,$640.24,$147.75,Limited Edition,81%
43-766269,984901132451,38270233,"Thursday, April 17, 2025",Saleable Products,Global Allocation,16,14,2,$445.17,$389.52,$55.65,C,87%
43-963874,911856239313,97775215,"Sunday, January 07, 2024",Saleable Products,Discontinued,40,0,40,$3527.79,$0.0,$3527.79,Travel Retail,0%
43-586819,459422681391,99639081,"Wednesday, March 27, 2024",Saleable Products,OK,38,38,0,$3100.97,$3100.97,$0.0,Set,100%
43-835132,227649528249,11250299,"Wednesday, August 21, 2024",Saleable Products,No Inventory,18,0,18,$1568.33,$0.0,$1568.33,Set,0%
43-416869,605645347792,82160068,"Thursday, August 08, 2024",Saleable Products,No Inventory,23,0,23,$1960.25,$0.0,$1960.25,C,0%
43-780776,390355792387,99639081,"Thursday, July 06, 2023",Saleable Products,Discontinued,46,0,46,$3874.73,$0.0,$3874.73,Travel Retail,0%
43-528129,798400899699,37326368,"Wednesday, April 03, 2024",Saleable Products,Automatic Closing,48,46,2,$2991.75,$2867.09,$124.66,C,95%
43-222343,808302588517,27778019,"Saturday, January 21, 2023",Saleable Products,No Inventory,40,0,40,$3647.08,$0.0,$3647.08,Limited Edition,0%
43-246566,763595448017,71510041,"Saturday, May 18, 2024",Saleable Products,Global Allocation,18,17,1,$275.82,$260.5,$15.32,Set,94%
43-147549,654818085172,77834855,"Monday, November 18, 2024",Saleable Products,Freshness,46,45,1,$1643.52,$1607.79,$35.73,Limited Edition,97%
43-139019,235447068293,27778019,"Saturday, August 03, 2024",Saleable Products,Freshness,49,48,1,$1427.41,$1398.28,$29.13,Limited Edition,97%
43-419149,424493543665,38270233,"Tuesday, December 19, 2023",Saleable Products,No Inventory,22,0,22,$459.74,$0.0,$459.74,Limited Edition,0%
43-616554,714294294451,48250360,"Thursday, December 14, 2023",Saleable Products,Discontinued,40,0,40,$422.86,$0.0,$422.86,Set,0%
43-221761,275259659197,28024248,"Wednesday, March 29, 2023",Saleable Products,Discontinued,30,0,30,$1387.14,$0.0,$1387.14,C,0%
43-201913,476415064723,71367643,"Sunday, January 14, 2024",Saleable Products,Discontinued,48,0,48,$3607.68,$0.0,$3607.68,Set,0%
43-346205,926939990836,56020613,"Sunday, March 12, 2023",Saleable Products,Freshness,42,39,3,$2857.67,$2653.55,$204.12,Set,92%
43-663658,945433611429,56843172,"Saturday, July 01, 2023",Saleable Products,OK,42,42,0,$2880.96,$2880.96,$0.0,Travel Retail,100%
43-242254,256589576361,59597086,"Friday, May 19, 2023",Saleable Products,Freshness,18,17,1,$1618.76,$1528.83,$89.93,C,94%
43-507524,459422681391,28024248,"Tuesday, October 01, 2024",Saleable Products,OK,18,18,0,$1730.91,$1730.91,$0.0,Limited Edition,100%
43-575679,342910249529,75569635,"Saturday, November 04, 2023",Saleable Products,Discontinued,41,0,41,$2921.38,$0.0,$2921.38,Travel Retail,0%
43-489033,254608246768,45594597,"Sunday, November 24, 2024",Saleable Products,Automatic Closing,1,0,1,$17.64,$0.0,$17.64,Set,0%
43-803055,889742985454,50603163,"Thursday, February 08, 2024",Saleable Products,Freshness,48,46,2,$3403.36,$3261.55,$141.81,Set,95%
43-879238,754474071330,11049999,"Saturday, June 03, 2023",Saleable Products,Discontinued,42,0,42,$2517.05,$0.0,$2517.05,C,0%
43-830316,709761138617,77834855,"Monday, April 24, 2023",Saleable Products,Freshness,15,12,3,$236.94,$189.55,$47.39,Limited Edition,80%
43-666432,539441524732,99038526,"Thursday, March 20, 2025",Saleable Products,Discontinued,5,0,5,$165.7,$0.0,$165.7,Set,0%
43-539486,754648192232,24366125,"Friday, November 15, 2024",Saleable Products,Freshness,27,26,1,$847.61,$816.22,$31.39,Limited Edition,96%
43-715870,219883823727,19832887,"Friday, July 21, 2023",Saleable Products,Global Allocation,17,15,2,$1352.39,$1193.29,$159.1,Set,88%
43-878325,754648192232,75569635,"Friday, October 11, 2024",Saleable Products,Freshness,41,38,3,$1683.81,$1560.61,$123.2,Travel Retail,92%
43-861894,790933616150,37326368,"Saturday, November 25, 2023",Saleable Products,Global Allocation,32,30,2,$1761.91,$1651.79,$110.12,C,93%
43-262029,517010168081,77834855,"Friday, October 27, 2023",Saleable Products,OK,38,38,0,$3067.18,$3067.18,$0.0,Set,100%
43-535037,342910249529,23419256,"Sunday, December 29, 2024",Saleable Products,Freshness,26,23,3,$2451.44,$2168.58,$282.86,Set,88%
43-786735,590573056992,50603163,"Saturday, March 22, 2025",Saleable Products,OK,2,2,0,$116.88,$116.88,$0.0,Travel Retail,100%
43-203831,590573056992,25492573,"Sunday, March 16, 2025",Saleable Products,Automatic Closing,28,27,1,$1679.35,$1619.37,$59.98,Travel Retail,96%
43-974190,942959595464,99639081,"Monday, March 27, 2023",Saleable Products,No Inventory,45,0,45,$838.26,$0.0,$838.26,Limited Edition,0%
43-613117,871590378377,99639081,"Saturday, December 30, 2023",Saleable Products,No Inventory,23,0,23,$1253.24,$0.0,$1253.24,Limited Edition,0%
43-745558,150711229823,77834855,"Monday, September 09, 2024",Saleable Products,Global Allocation,50,48,2,$3589.1,$3445.54,$143.56,Set,96%
43-527940,539441524732,82909480,"Saturday, March 29, 2025",Saleable Products,Freshness,20,18,2,$540.29,$486.26,$54.03,Travel Retail,90%
43-393328,869945806981,80993218,"Tuesday, May 21, 2024",Saleable Products,No Inventory,36,0,36,$720.49,$0.0,$720.49,Limited Edition,0%
43-134305,214832269481,50181935,"Tuesday, January 17, 2023",Saleable Products,OK,42,42,0,$3683.41,$3683.41,$0.0,C,100%
43-823811,498837994177,38270233,"Saturday, September 28, 2024",Saleable Products,No Inventory,22,0,22,$447.46,$0.0,$447.46,Set,0%
43-488528,176040557040,93370583,"Tuesday, August 27, 2024",Saleable Products,No Inventory,11,0,11,$1013.95,$0.0,$1013.95,Set,0%
43-327823,933251567391,75569635,"Sunday, March 03, 2024",Saleable Products,Discontinued,28,0,28,$969.61,$0.0,$969.61,Travel Retail,0%
43-564920,566854953850,37326368,"Friday, June 23, 2023",Saleable Products,No Inventory,45,0,45,$1786.35,$0.0,$1786.35,Set,0%
43-566297,869945806981,19736572,"Tuesday, January 09, 2024",Saleable Products,OK,22,22,0,$1260.65,$1260.65,$0.0,Set,100%
43-347582,227649528249,45594597,"Saturday, September 16, 2023",Saleable Products,No Inventory,17,0,17,$457.8,$0.0,$457.8,Limited Edition,0%
43-997004,615379416985,91178885,"Sunday, July 16, 2023",Saleable Products,Freshness,31,30,1,$2231.06,$2159.09,$71.97,C,96%
43-480303,917103043320,91178885,"Sunday, June 09, 2024",Saleable Products,No Inventory,11,0,11,$628.65,$0.0,$628.65,Travel Retail,0%
43-204180,933251567391,19832887,"Saturday, October 14, 2023",Saleable Products,Automatic Closing,36,35,1,$3425.41,$3330.26,$95.15,Set,97%
43-818987,914655221101,56020613,"Sunday, June 16, 2024",Saleable Products,No Inventory,14,0,14,$1288.13,$0.0,$1288.13,Set,0%
43-485178,256589576361,28024248,"Wednesday, January 25, 2023",Saleable Products,Global Allocation,35,32,3,$2774.6,$2536.77,$237.83,Travel Retail,91%
43-670913,354342113419,97775215,"Thursday, May 16, 2024",Saleable Products,Discontinued,23,0,23,$612.56,$0.0,$612.56,Limited Edition,0%
43-776149,488136971784,82909480,"Thursday, November 23, 2023",Saleable Products,OK,29,29,0,$848.0,$848.0,$0.0,Limited Edition,100%
